"Verbe";"Macro-catégorie";"Catégorie de base";"Aspect lexical";"Manière";"Paramètre 1";"Paramètre 2";"Définition du TLFi";"Définition de Glawi et du Wiktionnaire";"Commentaire"
"abandonner";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Quitter un lieu, ne plus l'occuper.";"Quitter, lâcher.";""
"aborder";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"";"";"";"(Le sujet est un navire, ou (par analogie avec le langage de la navigation) un véhicule, ou une personne se trouvant à bord d'un navire, sur un véhicule.) Achever un mouvement d'approche vers quelque chose ou quelqu'un. / Atteindre un lieu ou un mobile (avec parfois une idée d'hostilité).";"(Marine) Arriver au bord, prendre terre./ (Marine) Atteindre, en parlant d'une côte. / (Par extension) Accéder à, en parlant d'un lieu.";""
"aboutir";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Toucher un bout, trouver un terme, avec ou sans nuance d'effort. / Se terminer dans; arriver; p. ext. converger.";"Toucher par un bout. / (Par extension) Arriver au bout.";""
"abriver";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"";"";"";"";"Aborder au rivage.";""
"accéder";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Arriver à un terme dont l'approche peut faire difficulté.";"Avoir accès (à un endroit, à quelque chose, à une situation).";""
"accoster";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"";"";"";"(Marine) Venir se placer le long et à côté de. / (S')approcher de quelqu'un ou de quelque chose. / (gén. fam. et péj.) S'approcher de quelqu'un avec l'intention de lui parler, de lier commerce avec lui";"(Marine) Se placer le long de et à côté de. / Aborder quelqu’un qu’on rencontre pour lui parler.";""
"accourir";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"vitesse";"schéma moteur";"Venir en courant à toute hâte vers un lieu (exerçant une attirance sur le sujet); survenir rapidement.";"Courir, venir promptement en un lieu où quelque chose ou quelqu’un nous attire.";""
"accrocher";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"manière";"puissance de la force";"";"Heurter par un coup sec et comme avec un crochet, un objet, en particulier une voiture à côté de laquelle on passe.";"Heurter ou arrêter une voiture en passant trop près avec une autre.";""
"achopper";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"manière";"puissance de la force";"";"Heurter contre quelque chose.";"Heurter un obstacle du pied, trébucher, faire un faux pas.";""
"alaquer";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"";"";"";"";"Amerrir sur un lac.";""
"aller";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"(Le verbe marque un déplacement depuis un point de l'espace jusqu'à un autre) Se mouvoir, se déplacer.";"Se déplacer jusqu'à un endroit.";""
"aller et venir";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"forme de la trajectoire";"finalité";"Marque un mouvement de balancement, un mouvement alternatif (surtout quand le suj. est une chose). / (Quand le suj. est une pers.) Faire les cent pas.";"Circuler en tous sens, déambuler, divaguer. / Se déplacer dans un sens, puis aussitôt dans le sens opposé.";""
"amarsir";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"";"";"";"";"Se poser sur la surface de la planète Mars.";""
"ambler";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"";"(Vx. En parlant d'un quadrupède et en partic. du cheval) Aller l'amble. / (P. ext.) Fuir.";"Marcher en parlant de certains quadrupèdes qui s'appuient sur les deux pattes latérales au lieu de s'appuyer sur leurs pattes opposées.";""
"ambuler (lit)";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"finalité";"vitesse";"(Vx. littér.) Marcher selon le rythme de la promenade, sans hâte et souvent sans but.";"(Rare) Se promener. / (Rare) Nomadiser, se déplacer.";""
