cle_triptyque_temps,chapter,Num_paragr,Num_phrase,Phrase,Sujet,Verbe,Objet,time_texte_coref,time_code_coref,time_debut_coref,time_fin_coref,time_source_coref,time_ud_governor_coref,time_texte_auto,time_code_auto,time_debut_auto,time_fin_auto,time_source_auto,time_ud_governor_auto,temps_coref,temps_auto,statut_temps
767 || 772 || 765,1,9,26,"Ce qui était certain toutefois, c' est que, depuis de longues années, Phileas Fogg n' avait pas quitté Londres.",Phileas Fogg,quitté,depuis de longues années,depuis de longues années,1862-00-00-00-00,,,objet,quitté,depuis de longues années,,,,objet,quitté,1862-00-00-00,,seulement_coref
767 || 772 || 773,1,9,26,"Ce qui était certain toutefois, c' est que, depuis de longues années, Phileas Fogg n' avait pas quitté Londres.",Phileas Fogg,quitté,Londres,depuis de longues années,1862-00-00-00-00,,,ud_direct,quitté,depuis de longues années,,,,ud_direct,quitté,1862-00-00-00,,seulement_coref
801 || 802 || 800,1,9,27,Ceux qui avaient l' honneur de le connaître un peu plus que les autres attestaient que- si ce n' est sur ce chemin direct qu' il parcourait chaque jour pour venir de sa maison au club- personne ne pouvait prétendre l' avoir jamais vu ailleurs.,il,parcourait,qu',chaque jour,1872-00-00-00-00,,,ud_direct,parcourait,chaque jour,,,,ud_direct,parcourait,1872-00-00-00,,seulement_coref
801 || 802 || 804,1,9,27,Ceux qui avaient l' honneur de le connaître un peu plus que les autres attestaient que- si ce n' est sur ce chemin direct qu' il parcourait chaque jour pour venir de sa maison au club- personne ne pouvait prétendre l' avoir jamais vu ailleurs.,il,parcourait,chaque jour,chaque jour,1872-00-00-00-00,,,objet,parcourait,chaque jour,,,,objet,parcourait,1872-00-00-00,,seulement_coref
_ || 1001 || 1003,1,10,36,"Déjeunant, dînant au club à des heures chronométriquement déterminées, dans la même salle, à la même table, ne traitant point ses collègues, n' invitant aucun étranger, il ne rentrait chez lui que pour se coucher, à minuit précis, sans jamais user de ces chambres confortables que le Reform - Club tient à la disposition des membres du cercle.",,dînant,au club,à des heures chronométriquement déterminées,1872-00-00-00-00,,,ud_direct,dînant,à des heures chronométriquement déterminées,,,,ud_direct,dînant,1872-00-00-00,,seulement_coref
_ || 1001 || 1006,1,10,36,"Déjeunant, dînant au club à des heures chronométriquement déterminées, dans la même salle, à la même table, ne traitant point ses collègues, n' invitant aucun étranger, il ne rentrait chez lui que pour se coucher, à minuit précis, sans jamais user de ces chambres confortables que le Reform - Club tient à la disposition des membres du cercle.",,dînant,à des heures,à des heures chronométriquement déterminées,1872-00-00-00-00,,,objet,dînant,à des heures chronométriquement déterminées,,,,objet,dînant,1872-00-00-00,,seulement_coref
_ || 1001 || 1013,1,10,36,"Déjeunant, dînant au club à des heures chronométriquement déterminées, dans la même salle, à la même table, ne traitant point ses collègues, n' invitant aucun étranger, il ne rentrait chez lui que pour se coucher, à minuit précis, sans jamais user de ces chambres confortables que le Reform - Club tient à la disposition des membres du cercle.",,dînant,dans la même salle,à des heures chronométriquement déterminées,1872-00-00-00-00,,,ud_direct,dînant,à des heures chronométriquement déterminées,,,,ud_direct,dînant,1872-00-00-00,,seulement_coref
_ || 1001 || 1018,1,10,36,"Déjeunant, dînant au club à des heures chronométriquement déterminées, dans la même salle, à la même table, ne traitant point ses collègues, n' invitant aucun étranger, il ne rentrait chez lui que pour se coucher, à minuit précis, sans jamais user de ces chambres confortables que le Reform - Club tient à la disposition des membres du cercle.",,dînant,à la même table,à des heures chronométriquement déterminées,1872-00-00-00-00,,,ud_direct,dînant,à des heures chronométriquement déterminées,,,,ud_direct,dînant,1872-00-00-00,,seulement_coref
1456 || 1457 || 1459,1,13,45,"Phileas Fogg, carrément assis dans son fauteuil, les deux pieds rapprochés comme ceux d' un soldat à la parade, les mains appuyées sur les genoux, le corps droit, la tête haute, regardait marcher l' aiguille de la pendule,- appareil compliqué qui indiquait les heures, les minutes, les secondes, les jours, les quantièmes et l' année.",qui,indiquait,les heures les minutes les secondes les jours les quantièmes et l'année,2 octobre,1872-10-02-00-00,,,precedent_context,donné,l' année,1872-00-00-00-00,,,objet,heures,1872-10-02-00,1872-00-00-00,temps_different
_ || 1481 || _,1,13,46,"À onze heures et demie sonnant, Mr. Fogg devait, suivant sa quotidienne habitude, quitter la maison et se rendre au Reform - Club.",,sonnant,,à onze heures et demie sonnant,1872-10-02-11-00,,,ud_scope_anchor,devait,à onze heures et demie sonnant,1872-10-02-11-30,,,ud_scope_anchor,devait,1872-10-02-11,1872-10-02-11-30,temps_different
