Phrase,Sujet,Verbe,Objet,Dep_sujet,Dep_verbe,Dep_objet,ID_sujet,ID_verbe,ID_objet,DocID_sujet,DocID_verbe,DocID_objet,AlignID_sujet,AlignID_verbe,AlignID_objet,IDs_sujet,IDs_objet,Lemme_verbe,Head_verbe,Annotation_verbe_col8,Annotation_verbe_col9,Num_phrase,Num_paragr,Sentence_index,personnages_sujet,personnages_objet,personnages_triptyque,lieux_sujet,lieux_objet,lieux_triptyque,types_lieux_triptyque,a_personnage_triptyque,a_lieu_triptyque,a_personnage_et_lieu_triptyque,chapter
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",,portant,le numéro 7 de Saville-row Burlington Gardens-maison,,acl,obj,,8,10.0,,7,9.0,,7,9.0,[],"[9, 10, 11, 12, 13, 14, 15, 17, 18, 20]",porter,7,5,FAC,0,0,1,[],[],[],[],"['5', '10']","['5', '10']",['FAC'],False,True,False,1
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",Sheridan,mourut,en 1814,nsubj,acl:relcl,obl:mod,23.0,24,26.0,22.0,23,25.0,20.0,21,23.0,[23],"[25, 26]",mourir,20,_,_,0,0,1,[],[],[],[],[],[],[],False,False,False,1
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",la maison,habitée,En l'année 1872,nsubj:pass,root,obl:mod,7.0,30,3.0,6.0,29,2.0,6.0,26,2.0,"[6, 7]","[1, 2, 3, 4]",habiter,0,20,_,0,0,1,[],[],[],['5'],[],['5'],['FAC'],False,True,False,1
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",la maison,habitée,par Phileas Fogg esq.,nsubj:pass,root,obl:agent,7.0,30,32.0,6.0,29,31.0,6.0,26,28.0,"[6, 7]","[31, 32, 33, 35, 36]",habiter,0,20,_,0,0,1,[],['0'],['0'],['5'],[],['5'],['FAC'],True,True,True,1
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",la maison,habitée,l'un des membres les plus singuliers et les plus remarqués du Reform-Club de Londres,nsubj:pass,root,obl:mod,7.0,30,39.0,6.0,29,38.0,6.0,26,35.0,"[6, 7]","[38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",habiter,0,20,_,0,0,1,[],['0'],['0'],['5'],['3'],"['5', '3']",['FAC'],True,True,True,1
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",la maison,semblât,,nsubj:pass,advcl,,7.0,59,,6.0,58,,6.0,54,,"[6, 7]",[],sembler,30,_,_,0,0,1,[],[],[],['5'],[],['5'],['FAC'],False,True,False,1
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",,prendre,à tâche,,xcomp,obl:arg,,60,62.0,,59,61.0,,55,57.0,[],"[61, 62]",prendre,59,_,_,0,0,1,[],[],[],[],[],[],[],False,False,False,1
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",,faire,,,acl,,,66,,,65,,,61,,[],[],faire,62,_,_,0,0,1,[],[],[],[],[],[],[],False,False,False,1
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",qui,pût,,nsubj,acl:relcl,,67.0,68,,66.0,67,,62.0,63,,[67],[],pouvoir,62,_,_,0,0,1,[],[],[],[],[],[],[],False,False,False,1
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",qui,attirer,l'attention,nsubj,xcomp,obj,67.0,69,71.0,66.0,68,70.0,62.0,64,66.0,[67],"[70, 71]",attirer,68,_,_,0,0,1,[],[],[],[],[],[],[],False,False,False,1
"À l' un des plus grands orateurs qui honorent l' Angleterre, succédait donc ce Phileas Fogg, personnage énigmatique, dont on ne savait rien, sinon que c' était un fort galant homme et l' un des plus beaux gentlemen de la haute société anglaise.",qui,honorent,l'Angleterre,nsubj,acl:relcl,obj,8.0,9,11.0,79.0,80,82.0,75.0,76,78.0,[8],"[10, 11]",honorer,7,77,_,1,1,2,[],[],[],[],[],[],[],False,False,False,1
"À l' un des plus grands orateurs qui honorent l' Angleterre, succédait donc ce Phileas Fogg, personnage énigmatique, dont on ne savait rien, sinon que c' était un fort galant homme et l' un des plus beaux gentlemen de la haute société anglaise.",,succédait,À l'un des plus grands orateurs,,root,obl:mod,,13,3.0,,84,74.0,,80,70.0,[],"[1, 2, 3, 4, 5, 6, 7]",succéder,0,_,_,1,1,2,[],[],[],[],[],[],[],False,False,False,1
"À l' un des plus grands orateurs qui honorent l' Angleterre, succédait donc ce Phileas Fogg, personnage énigmatique, dont on ne savait rien, sinon que c' était un fort galant homme et l' un des plus beaux gentlemen de la haute société anglaise.",,succédait,ce Phileas Fogg personnage énigmatique sinon que c'était un fort galant homme et l'un des plus beaux gentlemen de la haute société anglaise,,root,obj,,13,16.0,,84,87.0,,80,83.0,[],"[15, 16, 17, 19, 20, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47]",succéder,0,_,_,1,1,2,[],['0'],['0'],[],[],[],[],True,False,False,1
"À l' un des plus grands orateurs qui honorent l' Angleterre, succédait donc ce Phileas Fogg, personnage énigmatique, dont on ne savait rien, sinon que c' était un fort galant homme et l' un des plus beaux gentlemen de la haute société anglaise.",on,savait,rien,nsubj,acl:relcl,obj,23.0,25,26.0,94.0,96,97.0,90.0,92,93.0,[23],[26],savoir,16,_,_,1,1,2,[],[],[],[],[],[],[],False,False,False,1
"On disait qu' il ressemblait à Byron - par la tête, car il était irréprochable quant aux pieds -, mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.",On,disait,,nsubj,root,,1.0,2,,120.0,121,,116.0,117,,[1],[],dire,0,_,_,2,2,3,[],[],[],[],[],[],[],False,False,False,1
"On disait qu' il ressemblait à Byron - par la tête, car il était irréprochable quant aux pieds -, mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.",il,ressemblait,à Byron,nsubj,ccomp,obl:arg,4.0,5,7.0,123.0,124,126.0,119.0,120,122.0,[4],"[6, 7]",ressembler,2,_,_,2,2,3,['0'],[],['0'],[],[],[],[],True,False,False,1
"On disait qu' il ressemblait à Byron - par la tête, car il était irréprochable quant aux pieds -, mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.",il,ressemblait,Byron-par,nsubj,ccomp,obj,4.0,5,8.0,123.0,124,127.0,119.0,120,,[4],[8],ressembler,2,_,_,2,2,3,['0'],[],['0'],[],[],[],[],True,False,False,1
