chapter,Phrase,Sujet,Verbe,Objet,personnages_concernes,time_code,lieu_manuel,type_lieu_manuel,Lemme_verbe,macro_categorie_dynamouv,categorie_base_dynamouv,aspect_lexical_dynamouv,maniere_dynamouv
1,"À qui s' étonnerait de ce qu' un gentleman aussi mystérieux comptât parmi les membres de cette honorable association, on répondra qu' il passa sur la recommandation de MM. Baring frères, chez lesquels il avait un crédit ouvert.",il,passa,sur la recommandation de MM. Baring frères,phileas fogg/baring frères,1872-00-00-00-00,reform_club,FAC,passer,Dpt au sens large,Dpt au sens strict,télique,
1,Avait -il voyagé?,-il,voyagé,,phileas fogg,1872-00-00-00-00,,,voyager,Dpt au sens large,Dpt au sens faible,atélique,manière
1,Il n' était endroit si reculé dont il ne parût avoir une connaissance spéciale.,il,parût,dont,phileas fogg,1872-00-00-00-00,,,paraître,Dpt au sens large,Dpt au sens strict,télique,
1,"C' était un homme qui avait dû voyager partout,- en esprit, tout au moins.",qui,voyager,,phileas fogg,1872-00-00-00-00,,,voyager,Dpt au sens large,Dpt au sens faible,atélique,manière
1,"Ce qui était certain toutefois, c' est que, depuis de longues années, Phileas Fogg n' avait pas quitté Londres.",Phileas Fogg,quitté,depuis de longues années,phileas fogg,1862-00-00-00-00,ville_londres,GPE,quitter,Dpt au sens large,Dpt au sens strict,télique,
1,"Ce qui était certain toutefois, c' est que, depuis de longues années, Phileas Fogg n' avait pas quitté Londres.",Phileas Fogg,quitté,Londres,phileas fogg,1862-00-00-00-00,ville_londres,GPE,quitter,Dpt au sens large,Dpt au sens strict,télique,
1,Ceux qui avaient l' honneur de le connaître un peu plus que les autres attestaient que- si ce n' est sur ce chemin direct qu' il parcourait chaque jour pour venir de sa maison au club- personne ne pouvait prétendre l' avoir jamais vu ailleurs.,il,parcourait,qu',phileas fogg,1872-00-00-00-00,M1,FAC,parcourir,Dpt au sens large,Dpt au sens faible,atélique,manière
1,Ceux qui avaient l' honneur de le connaître un peu plus que les autres attestaient que- si ce n' est sur ce chemin direct qu' il parcourait chaque jour pour venir de sa maison au club- personne ne pouvait prétendre l' avoir jamais vu ailleurs.,il,parcourait,chaque jour,phileas fogg,1872-00-00-00-00,reform_club,FAC,parcourir,Dpt au sens large,Dpt au sens faible,atélique,manière
1,Ceux qui avaient l' honneur de le connaître un peu plus que les autres attestaient que- si ce n' est sur ce chemin direct qu' il parcourait chaque jour pour venir de sa maison au club- personne ne pouvait prétendre l' avoir jamais vu ailleurs.,il,venir,de sa maison au club,phileas fogg,1872-00-00-00-00,maison_fogg,FAC,venir,Dpt au sens large,Dpt au sens strict,télique,
1,"À ce jeu du silence, si bien approprié à sa nature, il gagnait souvent, mais ses gains n' entraient jamais dans sa bourse et figuraient pour une somme importante à son budget de charité.",il,gagnait,À ce jeu du silence si bien approprié à sa nature,phileas fogg,1872-00-00-00-00,,,gagner,Dpt au sens large,Dpt au sens strict,télique,
1,"À ce jeu du silence, si bien approprié à sa nature, il gagnait souvent, mais ses gains n' entraient jamais dans sa bourse et figuraient pour une somme importante à son budget de charité.",ses gains,entraient,dans sa bourse,phileas fogg,1872-00-00-00-00,,,entrer,Dpt au sens large,Dpt au sens strict,télique,
1,"Le jeu était pour lui un combat, une lutte contre une difficulté, mais une lutte sans mouvement, sans déplacement, sans fatigue, et cela allait à son caractère.",cela,allait,à son caractère,phileas fogg,1872-00-00-00-00,,,aller,Dpt au sens large,Dpt au sens strict,télique,
1,"Sur vingt-quatre heures, il en passait dix à son domicile, soit qu' il dormît, soit qu' il s' occupât de sa toilette.",il,passait,Sur vingt-quatre heures,phileas fogg,,maison_fogg,FAC,passer,Dpt au sens large,Dpt au sens strict,télique,
1,"Sur vingt-quatre heures, il en passait dix à son domicile, soit qu' il dormît, soit qu' il s' occupât de sa toilette.",il,passait,dix,phileas fogg,,maison_fogg,FAC,passer,Dpt au sens large,Dpt au sens strict,télique,
1,"Sur vingt-quatre heures, il en passait dix à son domicile, soit qu' il dormît, soit qu' il s' occupât de sa toilette.",il,passait,à son domicile,phileas fogg,,maison_fogg,FAC,passer,Dpt au sens large,Dpt au sens strict,télique,
1,"Phileas Fogg, carrément assis dans son fauteuil, les deux pieds rapprochés comme ceux d' un soldat à la parade, les mains appuyées sur les genoux, le corps droit, la tête haute, regardait marcher l' aiguille de la pendule,- appareil compliqué qui indiquait les heures, les minutes, les secondes, les jours, les quantièmes et l' année.",Phileas Fogg,marcher,l'aiguille de la pendule appareil compliqué,phileas fogg,1872-10-02-00-00,fauteuil_fogg,_,marcher,Dpt au sens large,Dpt au sens faible,atélique,manière
1,"À onze heures et demie sonnant, Mr. Fogg devait, suivant sa quotidienne habitude, quitter la maison et se rendre au Reform - Club.",Mr. Fogg,quitter,la maison,phileas fogg,1872-10-02-11-00,maison_fogg,FAC,quitter,Dpt au sens large,Dpt au sens strict,télique,
1,"James Forster, le congédié, apparut.",James Forster le congédié,apparut,,james forster,1872-10-02-11-00,,,apparaître,Dpt au sens large,Dpt au sens strict,télique,
1,"J' ai été chanteur ambulant, écuyer dans un cirque, faisant de la voltige comme Léotard, et dansant sur la corde comme Blondin; puis je suis devenu professeur de gymnastique, afin de rendre mes talents plus utiles, et, en dernier lieu, j' étais sergent de pompiers, à Paris.",J',dansant,sur la corde,passepartout,1872-10-02-11-00,ville_paris,GPE,danser,Dynamicité spatiale sans dpt,Ch. de disposition,atélique,manière
1,"J' ai été chanteur ambulant, écuyer dans un cirque, faisant de la voltige comme Léotard, et dansant sur la corde comme Blondin; puis je suis devenu professeur de gymnastique, afin de rendre mes talents plus utiles, et, en dernier lieu, j' étais sergent de pompiers, à Paris.",J',dansant,comme Blondin,passepartout,1872-10-02-11-00,ville_paris,GPE,danser,Dynamicité spatiale sans dpt,Ch. de disposition,atélique,manière
1,"Mais voilà cinq ans que j' ai quitté la France et que, voulant goûter de la vie de famille, je suis valet de chambre en Angleterre.",j',quitté,la France,passepartout,1872-10-02-11-00,pays_france,GPE,quitter,Dpt au sens large,Dpt au sens strict,télique,
1,"Cela dit, Phileas Fogg se leva, prit son chapeau de la main gauche, le plaça sur sa tête avec un mouvement d' automate et disparut sans ajouter une parole.",Phileas Fogg,disparut,,phileas fogg,1872-10-02-00-00,,,disparaître,Dpt au sens large,Dpt au sens strict,télique,
1,"Passepartout entendit la porte de la rue se fermer une première fois: c' était son nouveau maître qui sortait; puis une seconde fois: c' était son prédécesseur, James Forster, qui s' en allait à son tour.",qui,sortait,,phileas fogg,1872-10-02-00-00,rue_fogg,FAC,sortir,Dpt au sens large,Dpt au sens strict,télique,
1,"Passepartout entendit la porte de la rue se fermer une première fois: c' était son nouveau maître qui sortait; puis une seconde fois: c' était son prédécesseur, James Forster, qui s' en allait à son tour.",qui,allait,s',james forster,1872-10-02-00-00,rue_fogg,FAC,aller,Dpt au sens large,Dpt au sens strict,télique,
1,"Passepartout entendit la porte de la rue se fermer une première fois: c' était son nouveau maître qui sortait; puis une seconde fois: c' était son prédécesseur, James Forster, qui s' en allait à son tour.",qui,allait,en,james forster,1872-10-02-00-00,rue_fogg,FAC,aller,Dpt au sens large,Dpt au sens strict,télique,
1,"Passepartout entendit la porte de la rue se fermer une première fois: c' était son nouveau maître qui sortait; puis une seconde fois: c' était son prédécesseur, James Forster, qui s' en allait à son tour.",qui,allait,à son tour,james forster,1872-10-02-00-00,rue_fogg,FAC,aller,Dpt au sens large,Dpt au sens strict,télique,
2,"Pendant les quelques instants qu' il venait d' entrevoir Phileas Fogg, Passepartout avait rapidement, mais soigneusement examiné son futur maître.",il,venait,qu',passepartout,1872-10-02-11-00,,,venir,Dpt au sens large,Dpt au sens strict,télique,
2,"Il paraissait posséder au plus haut degré ce que les physionomistes appellent« le repos dans l' action», faculté commune à tous ceux qui font plus de besogne que de bruit.",Il,paraissait,,phileas fogg,1872-10-02-11-00,,,paraître,Dpt au sens large,Dpt au sens strict,télique,
2,"Il ne faisait pas une enjambée de trop, allant toujours par le plus court.",Il,allant,par le plus court,phileas fogg,1872-10-02-11-00,,,aller,Dpt au sens large,Dpt au sens strict,télique,
2,"C' était l' homme le moins hâté du monde, mais il arrivait toujours à temps.",il,arrivait,à temps,phileas fogg,1872-10-02-11-00,,,arriver,Dpt au sens large,Dpt au sens strict,télique,
2,"Ayant entendu vanter le méthodisme anglais et la froideur proverbiale des gentlemen, il vint chercher fortune en Angleterre.",il,vint,,passepartout,1867-00-00-00-00,pays_angleterre,GPE,venir,Dpt au sens large,Dpt au sens strict,télique,
2,"Son dernier maître, le jeune Lord Longsferry, membre du Parlement, après avoir passé ses nuits dans les« oysters - rooms» d' Hay - Market, rentrait trop souvent au logis sur les épaules des policemen.",,passé,ses nuits,le jeune lord longsferry,,M7,LOC,passer,Dpt au sens large,Dpt au sens strict,télique,
2,"Un personnage dont l' existence était si régulière, qui ne découchait pas, qui ne voyageait pas, qui ne s' absentait jamais, pas même un jour, ne pouvait que lui convenir.",qui,découchait,,phileas fogg,1867-00-00-00-00,,,découcher,Mouvement inféré,,télique,
2,"Un personnage dont l' existence était si régulière, qui ne découchait pas, qui ne voyageait pas, qui ne s' absentait jamais, pas même un jour, ne pouvait que lui convenir.",qui,voyageait,,phileas fogg,1867-00-00-00-00,,,voyager,Dpt au sens large,Dpt au sens faible,atélique,manière
