triplet_row,triplet_id,Num_paragr,Num_phrase,chapter,verbe,lemme_verbe,est_verbe_deplacement,lieu_entity_id,lieu_texte,lieu_normalise,lieu_id_auto,niveau_lieu,lieu_cat,prep_lieu,relation_lieu,lien_triptyque_lieu,distance_verbe_lieu,head_dependency_relation,head_syntactic_head_ID
0,0,0,0,1.0,portant,porter,False,1,saville - row,saville - row,lieu_precis::saville row,lieu_precis,FAC,de,source,objet,5,nmod,9
0,0,0,0,1.0,portant,porter,False,2,burlington gardens,burlington gardens,lieu_precis::burlington gardens,lieu_precis,FAC,,cadre,objet,9,appos,9
1,1,0,0,1.0,mourut,mourir,False,3,laquelle,quelle,lieu_precis::quelle,lieu_precis,FAC,dans,cadre,ud_ancetre_verbe,2,dep,23
2,2,0,0,1.0,habitée,habiter,False,0,la maison,maison,lieu_precis::maison,lieu_precis,FAC,,cadre,sujet,24,nsubj:pass,29
2,2,0,0,1.0,habitée,habiter,False,4,londres,londres,toponyme::londres,toponyme,GPE,de,source,ud_ancetre_verbe,24,nmod,51
3,3,0,0,1.0,habitée,habiter,False,0,la maison,maison,lieu_precis::maison,lieu_precis,FAC,,cadre,sujet,24,nsubj:pass,29
3,3,0,0,1.0,habitée,habiter,False,4,londres,londres,toponyme::londres,toponyme,GPE,de,source,ud_ancetre_verbe,24,nmod,51
4,4,0,0,1.0,habitée,habiter,False,0,la maison,maison,lieu_precis::maison,lieu_precis,FAC,,cadre,sujet,24,nsubj:pass,29
4,4,0,0,1.0,habitée,habiter,False,4,londres,londres,toponyme::londres,toponyme,GPE,de,source,objet,24,nmod,51
5,5,0,0,1.0,semblât,sembler,False,0,la maison,maison,lieu_precis::maison,lieu_precis,FAC,,cadre,sujet,53,nsubj:pass,29
10,10,1,1,1.0,honorent,honorer,False,5,l' angleterre,angleterre,toponyme::angleterre,toponyme,GPE,,cadre,objet,1,obj,80
23,23,3,4,1.0,vu,voir,False,6,la cité,cité,toponyme::cite,toponyme,GPE,de,source,ud_ancetre_verbe,17,nmod,196
24,24,3,5,1.0,reçu,recevoir,False,7,les docks de londres,s docks de londres,toponyme::s docks de londres,toponyme,LOC,,cadre,sujet,7,conj,203
24,24,3,5,1.0,reçu,recevoir,False,8,londres,londres,toponyme::londres,toponyme,GPE,de,source,sujet,4,nmod,203
24,24,3,5,1.0,reçu,recevoir,False,9,un navire,navire,vehicule::navire,vehicule,VEH,,cadre,objet,1,obj,212
27,27,3,7,1.0,retenti,retentir,False,10,au temple,temple,lieu_precis::temple,lieu_precis,FAC,au,cadre,objet,8,conj,239
27,27,3,7,1.0,retenti,retentir,False,11,lincoln' s - inn,lincoln' s - inn,lieu_precis::lincoln' s inn,lieu_precis,FAC,a,cadre,objet,13,dep,245
27,27,3,7,1.0,retenti,retentir,False,12,gray' s - inn,gray' s - inn,lieu_precis::gray' s inn,lieu_precis,FAC,a,cadre,objet,20,dep,249
28,28,3,8,1.0,plaida,plaider,False,13,la reine,reine,lieu_precis::reine,lieu_precis,FAC,au;de,source,objet,12,nmod,274
29,29,3,10,1.0,faisait,faire,False,14,la grande-bretagne,grande-bretagne,toponyme::grande bretagne,toponyme,GPE,de,source,ud_ancetre_verbe,8,nmod,311
29,29,3,10,1.0,faisait,faire,False,15,londres,londres,toponyme::londres,toponyme,GPE,de,source,ud_ancetre_verbe,16,nmod,320
33,33,3,11,1.0,pullulent,pulluler,False,16,la capitale de,capitale de,toponyme::capitale de,toponyme,GPE,dans,cadre,objet,2,obl:mod,386
33,33,3,11,1.0,pullulent,pulluler,False,17,l' angleterre,angleterre,toponyme::angleterre,toponyme,GPE,de,source,objet,5,nmod,389
34,34,3,11,1.0,pullulent,pulluler,False,16,la capitale de,capitale de,toponyme::capitale de,toponyme,GPE,dans,cadre,ud_ancetre_verbe,2,obl:mod,386
34,34,3,11,1.0,pullulent,pulluler,False,17,l' angleterre,angleterre,toponyme::angleterre,toponyme,GPE,de,source,ud_ancetre_verbe,5,nmod,389
41,41,5,13,1.0,comptât,compter,False,18,cette honorable association,cette honorable association,lieu_precis::cette honorable association,lieu_precis,FAC,de,source,objet,5,nmod,444
43,43,5,13,1.0,passa,passer,True,18,cette honorable association,cette honorable association,lieu_precis::cette honorable association,lieu_precis,FAC,de,source,phrase_proche_deplacement,8,nmod,444
68,68,8,24,1.0,redressait,redresser,False,19,le club,club,lieu_precis::club,lieu_precis,FAC,dans,cadre,ud_ancetre_verbe,7,obl:mod,693
69,69,8,24,1.0,redressait,redresser,False,19,le club,club,lieu_precis::club,lieu_precis,FAC,dans,cadre,ud_ancetre_verbe,7,obl:mod,693
70,70,8,24,1.0,circulaient,circuler,True,19,le club,club,lieu_precis::club,lieu_precis,FAC,dans,destination,objet,2,obl:mod,693
71,71,8,24,1.0,circulaient,circuler,True,19,le club,club,lieu_precis::club,lieu_precis,FAC,dans,destination,ud_ancetre_verbe,2,obl:mod,693
81,81,9,26,1.0,est,être,False,20,londres,londres,toponyme::londres,toponyme,GPE,,cadre,ud_ancetre_verbe,14,obj,772
82,82,9,26,1.0,quitté,quitter,True,20,londres,londres,toponyme::londres,toponyme,GPE,,source,ud_ancetre_verbe,1,obj,772
83,83,9,26,1.0,quitté,quitter,True,20,londres,londres,toponyme::londres,toponyme,GPE,,source,objet,1,obj,772
