groupe,entity_id,paragraph_ID,sentence_ID,start_token,end_token,text,time_kind,precision,annee,mois,jour,heure,minute,datetime_auto,time_code_auto,jour_romanesque,debut_auto,fin_auto,duration_value,duration_unit,duration_relation,regle
date_absolue,0,0,0,0,3,en l' année 1872,date_absolue,annee,1872.0,,,,,1872,1872-00-00-00-00,,,,,,,annee_seule
date_absolue,1,0,0,24,25,en 1814,date_absolue,annee,1814.0,,,,,1814,1814-00-00-00-00,,,,,,,annee_seule
date_absolue,8,12,44,1350,1351,2 octobre,date_absolue,jour,1872.0,10.0,2.0,,,1872-10-02,1872-10-02-00-00,1.0,,,,,,date_complete
date_absolue,17,26,71,1881,1885,ce mercredi 2 octobre 1872,date_absolue,jour,1872.0,10.0,2.0,,,1872-10-02,1872-10-02-00-00,1.0,,,,,,date_complete
date_absolue,37,59,164,4223,4225,le 29 septembre,date_absolue,jour,1872.0,9.0,29.0,,,1872-09-29,1872-09-29-00-00,-2.0,,,,,,date_complete
date_absolue,40,62,172,4515,4517,le 29 septembre,date_absolue,jour,1872.0,9.0,29.0,,,1872-09-29,1872-09-29-00-00,-2.0,,,,,,date_complete
date_absolue,42,64,177,4730,4735,pendant cette journée du 29 septembre,date_absolue,jour,1872.0,9.0,29.0,,,1872-09-29,1872-09-29-00-00,-2.0,,,,,,date_complete
date_absolue,61,127,265,6096,6098,mercredi 2 octobre,date_absolue,jour,1872.0,10.0,2.0,,,1872-10-02,1872-10-02-00-00,1.0,,,,,,date_complete
date_absolue,62,127,265,6117,6120,le samedi 21 décembre,date_absolue,jour,1872.0,12.0,21.0,,,1872-12-21,1872-12-21-00-00,81.0,,,,,,date_complete
date_absolue,77,176,362,7497,7501,le samedi 21 décembre 1872,date_absolue,jour,1872.0,12.0,21.0,,,1872-12-21,1872-12-21-00-00,81.0,,,,,,date_complete
date_absolue,83,190,392,8087,8089,le 7 octobre,date_absolue,jour,1872.0,10.0,7.0,,,1872-10-07,1872-10-07-00-00,6.0,,,,,,date_complete
date_absolue,97,202,432,8982,8985,le mercredi 9 octobre,date_absolue,jour,1872.0,10.0,9.0,,,1872-10-09,1872-10-09-00-00,8.0,,,,,,date_complete
date_absolue,107,283,568,11581,11583,mercredi 2 octobre,date_absolue,jour,1872.0,10.0,2.0,,,1872-10-02,1872-10-02-00-00,1.0,,,,,,date_complete
date_absolue,109,284,569,11595,11597,jeudi 3 octobre,date_absolue,jour,1872.0,10.0,3.0,,,1872-10-03,1872-10-03-00-00,2.0,,,,,,date_complete
date_absolue,113,286,571,11623,11625,vendredi 4 octobre,date_absolue,jour,1872.0,10.0,4.0,,,1872-10-04,1872-10-04-00-00,3.0,,,,,,date_complete
date_absolue,117,288,573,11648,11650,samedi 5 octobre,date_absolue,jour,1872.0,10.0,5.0,,,1872-10-05,1872-10-05-00-00,4.0,,,,,,date_complete
date_absolue,121,290,575,11673,11675,mercredi 9 octobre,date_absolue,jour,1872.0,10.0,9.0,,,1872-10-09,1872-10-09-00-00,8.0,,,,,,date_complete
