Phrase,Sujet,Verbe,Objet,Dep_sujet,Dep_verbe,Dep_objet,ID_sujet,ID_verbe,ID_objet,Lemme_verbe,Head_verbe,Annotation_verbe_col8,Annotation_verbe_col9,Num_phrase,Num_paragr,Sentence_index
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",NaN,portant,le numéro 7 de Saville - row Burlington Gardens maison,NaN,acl,obj,,8,10,porter,7,5,PER,0,0,1
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",Sheridan,mourut,en 1814,nsubj,acl:relcl,obl:mod,23,24,26,mourir,20,_,_,0,0,1
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",la maison,habitée,En l' année 1872,nsubj:pass,root,obl:mod,7,30,3,habiter,0,20,PER,0,0,1
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",la maison,habitée,par Phileas Fogg esq.,nsubj:pass,root,obl:agent,7,30,32,habiter,0,20,PER,0,0,1
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",la maison,habitée,l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres,nsubj:pass,root,obl:mod,7,30,39,habiter,0,20,PER,0,0,1
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",la maison,semblât,NaN,nsubj:pass,advcl,NaN,7,59,,sembler,30,_,_,0,0,1
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",NaN,prendre,à tâche,NaN,xcomp,obl:arg,,60,62,prendre,59,_,_,0,0,1
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",NaN,faire,NaN,NaN,acl,NaN,,66,,faire,62,_,_,0,0,1
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",qui,pût,NaN,nsubj,acl:relcl,NaN,67,68,,pouvoir,62,_,_,0,0,1
"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",qui,attirer,l' attention,nsubj,xcomp,obj,67,69,71,attirer,68,_,_,0,0,1
"À l' un des plus grands orateurs qui honorent l' Angleterre, succédait donc ce Phileas Fogg, personnage énigmatique, dont on ne savait rien, sinon que c' était un fort galant homme et l' un des plus beaux gentlemen de la haute société anglaise.",qui,honorent,l' Angleterre,nsubj,acl:relcl,obj,8,9,11,honorer,7,77,PER,1,1,2
"À l' un des plus grands orateurs qui honorent l' Angleterre, succédait donc ce Phileas Fogg, personnage énigmatique, dont on ne savait rien, sinon que c' était un fort galant homme et l' un des plus beaux gentlemen de la haute société anglaise.",NaN,succédait,À l' un des plus grands orateurs,NaN,root,obl:mod,,13,3,succéder,0,_,_,1,1,2
