chapter,Phrase,Sujet,Verbe,Objet,time_code,macro_categorie_dynamouv,categorie_base_dynamouv,aspect_lexical_dynamouv,maniere_dynamouv
1.0,"À qui s' étonnerait de ce qu' un gentleman aussi mystérieux comptât parmi les membres de cette honorable association, on répondra qu' il passa sur la recommandation de MM. Baring frères, chez lesquels il avait un crédit ouvert.",il,passa,sur la recommandation de MM. Baring frères,1872-00-00-00-00,Dpt au sens large,Dpt au sens strict,télique,
1.0,Avait -il voyagé?,-il,voyagé,,1872-00-00-00-00,Dpt au sens large,Dpt au sens faible,atélique,manière
1.0,Il n' était endroit si reculé dont il ne parût avoir une connaissance spéciale.,il,parût,dont,1872-00-00-00-00,Dpt au sens large,Dpt au sens strict,télique,
1.0,"Quelquefois, mais en peu de mots, brefs et clairs, il redressait les mille propos qui circulaient dans le club au sujet des voyageurs perdus ou égarés; il indiquait les vraies probabilités, et ses paroles s' étaient trouvées souvent comme inspirées par une seconde vue, tant l' événement finissait toujours par les justifier.",qui,circulaient,au sujet des voyageurs,1872-00-00-00-00,Dpt au sens large,Dpt au sens faible,atélique,manière
1.0,"C' était un homme qui avait dû voyager partout,- en esprit, tout au moins.",qui,voyager,,1872-00-00-00-00,Dpt au sens large,Dpt au sens faible,atélique,manière
1.0,"Ce qui était certain toutefois, c' est que, depuis de longues années, Phileas Fogg n' avait pas quitté Londres.",Phileas Fogg,quitté,depuis de longues années,,Dpt au sens large,Dpt au sens strict,télique,
1.0,"Ce qui était certain toutefois, c' est que, depuis de longues années, Phileas Fogg n' avait pas quitté Londres.",Phileas Fogg,quitté,Londres,,Dpt au sens large,Dpt au sens strict,télique,
1.0,Ceux qui avaient l' honneur de le connaître un peu plus que les autres attestaient que- si ce n' est sur ce chemin direct qu' il parcourait chaque jour pour venir de sa maison au club- personne ne pouvait prétendre l' avoir jamais vu ailleurs.,il,parcourait,qu',,Dpt au sens large,Dpt au sens faible,atélique,manière
1.0,Ceux qui avaient l' honneur de le connaître un peu plus que les autres attestaient que- si ce n' est sur ce chemin direct qu' il parcourait chaque jour pour venir de sa maison au club- personne ne pouvait prétendre l' avoir jamais vu ailleurs.,il,parcourait,chaque jour,,Dpt au sens large,Dpt au sens faible,atélique,manière
1.0,Ceux qui avaient l' honneur de le connaître un peu plus que les autres attestaient que- si ce n' est sur ce chemin direct qu' il parcourait chaque jour pour venir de sa maison au club- personne ne pouvait prétendre l' avoir jamais vu ailleurs.,il,venir,de sa maison au club,1872-00-00-00-00,Dpt au sens large,Dpt au sens strict,télique,
1.0,"À ce jeu du silence, si bien approprié à sa nature, il gagnait souvent, mais ses gains n' entraient jamais dans sa bourse et figuraient pour une somme importante à son budget de charité.",il,gagnait,À ce jeu du silence si bien approprié à sa nature,1872-00-00-00-00,Dpt au sens large,Dpt au sens strict,télique,
1.0,"À ce jeu du silence, si bien approprié à sa nature, il gagnait souvent, mais ses gains n' entraient jamais dans sa bourse et figuraient pour une somme importante à son budget de charité.",ses gains,entraient,dans sa bourse,1872-00-00-00-00,Dpt au sens large,Dpt au sens strict,télique,
1.0,"Le jeu était pour lui un combat, une lutte contre une difficulté, mais une lutte sans mouvement, sans déplacement, sans fatigue, et cela allait à son caractère.",cela,allait,à son caractère,1872-00-00-00-00,Dpt au sens large,Dpt au sens strict,télique,
1.0,"Sur vingt-quatre heures, il en passait dix à son domicile, soit qu' il dormît, soit qu' il s' occupât de sa toilette.",il,passait,Sur vingt-quatre heures,,Dpt au sens large,Dpt au sens strict,télique,
1.0,"Sur vingt-quatre heures, il en passait dix à son domicile, soit qu' il dormît, soit qu' il s' occupât de sa toilette.",il,passait,dix,,Dpt au sens large,Dpt au sens strict,télique,
1.0,"Sur vingt-quatre heures, il en passait dix à son domicile, soit qu' il dormît, soit qu' il s' occupât de sa toilette.",il,passait,à son domicile,,Dpt au sens large,Dpt au sens strict,télique,
