triplet_id,chapter,Num_paragr,Num_phrase,Sentence_index,Phrase,Sujet,Verbe,Objet,Lemme_verbe,personnages_triptyque,lieux_triptyque,types_lieux_triptyque,time_texte_phrase,time_code_phrase,date_jour_phrase,jour_romanesque_phrase,time_texte_precedent,time_code_precedent,date_jour_precedent,jour_romanesque_precedent,time_texte_auto,time_code_auto,date_jour_auto,jour_romanesque_auto,source_temps_auto,lieux_labels,a_personnage,a_lieu,deplacement
0,1,0,0,1,"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",,portant,le numéro 7 de Saville-row Burlington Gardens-maison,porter,[],"['5', '10']",['FAC'],l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,phrase,"['maison_fogg', 'rue_fogg']",False,True,False
1,1,0,0,1,"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",Sheridan,mourut,en 1814,mourir,[],[],[],en 1814,1814-00-00-00,,,l' année 1872,1872-00-00-00,,,en 1814,1814-00-00-00,,,phrase,[],False,False,False
2,1,0,0,1,"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",la maison,habitée,En l'année 1872,habiter,[],['5'],['FAC'],l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,phrase,['maison_fogg'],False,True,False
3,1,0,0,1,"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",la maison,habitée,par Phileas Fogg esq.,habiter,['0'],['5'],['FAC'],l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,phrase,['maison_fogg'],True,True,True
4,1,0,0,1,"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",la maison,habitée,l'un des membres les plus singuliers et les plus remarqués du Reform-Club de Londres,habiter,['0'],"['5', '3']",['FAC'],l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,phrase,"['maison_fogg', 'reform_club']",True,True,True
5,1,0,0,1,"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",la maison,semblât,,sembler,[],['5'],['FAC'],l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,phrase,['maison_fogg'],False,True,False
6,1,0,0,1,"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",,prendre,à tâche,prendre,[],[],[],l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,phrase,[],False,False,False
7,1,0,0,1,"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",,faire,,faire,[],[],[],l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,phrase,[],False,False,False
8,1,0,0,1,"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",qui,pût,,pouvoir,[],[],[],l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,phrase,[],False,False,False
9,1,0,0,1,"En l' année 1872, la maison portant le numéro 7 de Saville - row, Burlington Gardens- maison dans laquelle Sheridan mourut en 1814-, était habitée par Phileas Fogg, esq., l' un des membres les plus singuliers et les plus remarqués du Reform - Club de Londres, bien qu' il semblât prendre à tâche de ne rien faire qui pût attirer l' attention.",qui,attirer,l'attention,attirer,[],[],[],l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,phrase,[],False,False,False
10,1,1,1,2,"À l' un des plus grands orateurs qui honorent l' Angleterre, succédait donc ce Phileas Fogg, personnage énigmatique, dont on ne savait rien, sinon que c' était un fort galant homme et l' un des plus beaux gentlemen de la haute société anglaise.",qui,honorent,l'Angleterre,honorer,[],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],False,False,False
11,1,1,1,2,"À l' un des plus grands orateurs qui honorent l' Angleterre, succédait donc ce Phileas Fogg, personnage énigmatique, dont on ne savait rien, sinon que c' était un fort galant homme et l' un des plus beaux gentlemen de la haute société anglaise.",,succédait,À l'un des plus grands orateurs,succéder,[],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],False,False,False
12,1,1,1,2,"À l' un des plus grands orateurs qui honorent l' Angleterre, succédait donc ce Phileas Fogg, personnage énigmatique, dont on ne savait rien, sinon que c' était un fort galant homme et l' un des plus beaux gentlemen de la haute société anglaise.",,succédait,ce Phileas Fogg personnage énigmatique sinon que c'était un fort galant homme et l'un des plus beaux gentlemen de la haute société anglaise,succéder,['0'],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],True,False,False
13,1,1,1,2,"À l' un des plus grands orateurs qui honorent l' Angleterre, succédait donc ce Phileas Fogg, personnage énigmatique, dont on ne savait rien, sinon que c' était un fort galant homme et l' un des plus beaux gentlemen de la haute société anglaise.",on,savait,rien,savoir,[],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],False,False,False
14,1,2,2,3,"On disait qu' il ressemblait à Byron - par la tête, car il était irréprochable quant aux pieds -, mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.",On,disait,,dire,[],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],False,False,False
15,1,2,2,3,"On disait qu' il ressemblait à Byron - par la tête, car il était irréprochable quant aux pieds -, mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.",il,ressemblait,à Byron,ressembler,['0'],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],True,False,False
